
2023/03/31 (02:46:24) | ===> btop++ v.1.2.13
2023/03/31 (02:46:24) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/04/06 (14:56:08) | ===> btop++ v.1.2.13
2023/04/06 (14:56:08) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/04/10 (12:44:30) | ===> btop++ v.1.2.13
2023/04/10 (12:44:30) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/04/12 (14:09:14) | ===> btop++ v.1.2.13
2023/04/12 (14:09:14) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/04/17 (13:53:20) | ===> btop++ v.1.2.13
2023/04/17 (13:53:20) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/09/29 (10:56:13) | ===> btop++ v.1.2.13
2023/09/29 (10:56:13) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
